taxid	organism_name
1397322	Cystobasidium minutum MCA 4210
1397361	Sporothrix schenckii 1099-18
1398154	Sporothrix brasiliensis 5110
1408163	Rasamsonia emersonii CBS 393.64
1408657	Pneumocystis jirovecii RU7
1408658	Pneumocystis carinii B80
1423913	Kwoniella europaea PYCC6329
1441469	Talaromyces atroroseus
1442368	Fonsecaea pedrosoi CBS 271.37
1442369	Rhinocladiella mackenziei CBS 650.93
1442370	Cladophialophora bantiana CBS 173.52
1442371	Fonsecaea multimorphosa CBS 102226
1448310	Aspergillus neoniger CBS 115656
1448311	Aspergillus vadensis CBS 113365
1448312	Aspergillus japonicus CBS 114.51
1448313	Aspergillus piperis CBS 112811
1448314	Aspergillus eucalypticola CBS 122712
1448315	Aspergillus uvarum CBS 121591
1448316	Aspergillus ibericus CBS 121593
1448317	Aspergillus costaricaensis CBS 115574
1448319	Aspergillus fijiensis CBS 313.89
1448321	Aspergillus heteromorphus CBS 117.55
1448322	Aspergillus aculeatinus CBS 121060
1450172	Aaosphaeria arxii CBS 175.79
1450533	Aspergillus niger CBS 101883
1450534	Aspergillus brunneoviolaceus CBS 621.78
1450535	Aspergillus sclerotioniger CBS 115572
1450536	Guyanagaster necrorhizus MCA 3950
1450537	Aspergillus homomorphus CBS 101889
1450539	Aspergillus saccharolyticus JOP 1030-1
1460663	Paraphaeosphaeria sporulosa
1463999	Botrytis sinoallii
1485682	Mitosporidium daphniae
1506151	Aspergillus pseudonomiae
1506179	Penicillium alfredii
1509407	Aspergillus nomiae NRRL 13137
1517512	Aspergillus pseudoviridinutans
1522189	Ceraceosorus guamensis
1546026	Lipomyces chichibuensis
1561947	Penicillium longicatenatum
1562058	Penicillium pulvis
1562060	Penicillium verhagenii
1567544	Fusarium tjaetaba
1569628	Jaminaea rosea
1578925	Pyricularia pennisetigena
1635080	Knufia obscura
1651941	Kwoniella newhampshirensis
1658444	Neoarthrinium moseri
1664694	Cyphellophora attinorum
1671311	Colletotrichum abscissum
1682393	Microdochium trichocladiopsis
1684307	Pseudomicrostroma glucosiphilum
1690604	Lithohypha guttulata
1690606	Exophiala bonariae
1690608	Saxophila tyrrhenica
1734106	Kwoniella shandongensis
1750568	Cantharellus anzutake
1775924	Candida margitis
1775926	Lodderomyces beijingensis
1788519	Scheffersomyces coipomensis
1792511	Penicillium robsamsonii
1805483	Nematocida displodere
1806994	Synchytrium microbalum
1810919	Aspergillus mulundensis
1835702	Penicillium arizonense
