group_taxid	group_name	kingdom	tax_phylum	tax_class	tax_order	tax_family	tax_genus	tax_species	taxonomy	n_blanks_present	mean_reads_blank	max_reads_blank	sum_reads_all_blanks	min_tier_blank	in_run28_blank	runs_present	prevalence	mean_reads_all_blanks	reads_run28	contamination_class	mean_rpm_blank	max_rpm_blank	std_rpm_blank	lot_batch_runs
1574624	Cutibacterium namnetense	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium namnetense	Actinomycetota|Actinomycetes|Propionibacteriales|Propionibacteriaceae|Cutibacterium|Cutibacterium namnetense	5	7.8	18	39	2	false	13,18,29,30,33	0.2631578947368421	2.052631578947368	0	REAGENT	35.03227240944026	76.98163560315112	24.34162149027931	""
1274	Dermacoccus nishinomiyaensis	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Dermacoccaceae	Dermacoccus	Dermacoccus nishinomiyaensis	Actinomycetota|Actinomycetes|Micrococcales|Dermacoccaceae|Dermacoccus|Dermacoccus nishinomiyaensis	5	7.6	22	38	2	true	15,17,18,28,33	0.2631578947368421	2.0	7	REAGENT	44.219206202683935	76.18071450584686	22.21367238830373	""
338	Xanthomonas	Bacteria	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Xanthomonas	""	Pseudomonadota|Gammaproteobacteria|Lysobacterales|Lysobacteraceae|Xanthomonas	5	5.4	7	27	2	false	17,18,29,32,33	0.2631578947368421	1.4210526315789473	0	REAGENT	39.85003157138195	105.09353324458768	38.02157550728119	""
3382192	Rhizobium sp. SYY.PMSO	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Rhizobium	Rhizobium sp. SYY.PMSO	Pseudomonadota|Alphaproteobacteria|Hyphomicrobiales|Rhizobiaceae|Rhizobium|Rhizobium sp. SYY.PMSO	5	5.2	8	26	2	false	29,30,31,32,33	0.2631578947368421	1.3684210526315788	0	REAGENT	22.39085304958988	38.7756585803262	11.034810992481601	""
1290	Staphylococcus hominis	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus hominis	Bacillota|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus hominis	5	4.2	6	21	1	false	17,18,21,25,30	0.2631578947368421	1.1052631578947367	0	REAGENT	35.46587131626257	105.09353324458768	39.07509134779907	""
2487072	Epilithonimonas vandammei	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Epilithonimonas	Epilithonimonas vandammei	Bacteroidota|Flavobacteriia|Flavobacteriales|Weeksellaceae|Epilithonimonas|Epilithonimonas vandammei	5	4.0	5	20	2	false	17,18,29,31,33	0.2631578947368421	1.0526315789473684	0	REAGENT	24.84988347274409	52.54676662229384	16.458085485419872	""
564369	Luteibacter anthropi	Bacteria	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Rhodanobacteraceae	Luteibacter	Luteibacter anthropi	Pseudomonadota|Gammaproteobacteria|Lysobacterales|Rhodanobacteraceae|Luteibacter|Luteibacter anthropi	4	51.75	174	207	1	false	18,22,23,24	0.21052631578947367	10.894736842105262	0	REAGENT	654.7582753409205	2138.537928322108	1008.4349637729795	""
2571115	Pseudoxanthomonas sp. X-1	Bacteria	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Pseudoxanthomonas	Pseudoxanthomonas sp. X-1	Pseudomonadota|Gammaproteobacteria|Lysobacterales|Lysobacteraceae|Pseudoxanthomonas|Pseudoxanthomonas sp. X-1	4	9.5	12	38	1	false	29,30,31,33	0.21052631578947367	2.0	0	REAGENT	37.326422542422016	48.46957322540775	11.786597971552965	""
13687	Sphingomonas	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	""	Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas	4	8.75	11	35	2	false	30,31,32,33	0.21052631578947367	1.8421052631578947	0	REAGENT	38.13158288711024	51.14017009220573	9.424641622733919	""
29321	Corynebacterium otitidis	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium otitidis	Actinomycetota|Actinomycetes|Mycobacteriales|Corynebacteriaceae|Corynebacterium|Corynebacterium otitidis	4	7.75	11	31	2	false	15,17,30,33	0.21052631578947367	1.631578947368421	0	REAGENT	64.74864985525926	99.1122375295567	33.39190805989914	""
